thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_spiritual;yes_military;yes_demography;yes_treasure;yes_custom;override_no;answer_no;no_spiritual;no_military;no_demography;no_treasure;no_custom;vide
death and accidents;_end_toorich;160;end>dead_king_vomit;;300;100;<i>You eat so much that you end up choking. Everyone is drunk so your death is only noticed the following morning.</i>;;;;;;;;;;;;;;;
death and accidents;penniless;161;anyone;treasure=0;;1000000;Your country is ruined my Lord. Merchants and nobility own everything.;What...;;;;;;>_end_penniless;What...;;;;;;>_end_penniless;
buildings;_end_penniless;162;merchant;centralbank_keep;10;max;The central bank can provide the Crown with an exceptional loan. Of course, the central bank is now the treasury.;;;;;;40;!centralbank_keep;;;;;;;>_end_penniless;
death and accidents;_end_penniless;163;end>dead_king_dogs;overall<30;;100000;<i>You're tortured and your body is thrown to the dogs. Your name becomes an insult.</i>;;;;;;;;;;;;;;;
death and accidents;_end_penniless;164;end>dead_king_drown;military<20;;10000;<i>The new oligarchy forces you to exile. On the boat, a disgruntled soldier pushes you overboard. You drown quickly.</i>;;;;;;;;;;;;;;;
death and accidents;_end_penniless;165;end>dead_king_fire;spiritual<20;;1000;<i>The new oligarchy wanted to keep you as their straw man. But the Church condemned you to be burnt alive.</i>;;;;;;;;;;;;;;;
death and accidents;_end_penniless;166;end>dead_king_exil;;;10;<i>The new oligarchy forces you to exile.</i>;;;;;;;;;;;;;;;
death and accidents;_die_gangrene;167;doctor;;;10;My Lord, you're dying of gangrene... There's nothing I can do.;What...;;;;;;>_end_gangrene;What...;;;;;;>_end_gangrene;
death and accidents;_die_gangrene;168;doctor;;;10;My Lord... I will have to cut off your arm.;Do it;;5;5;5;-5;isOnearm;;;;;;;>_end_gangrene;
death and accidents;_die_gangrene;169;witch;;300;10;My King I sense decay inside you. You're going to die if I don't intervene.;;;-10;5;;-5;isOnearm;;;10;-5;;;>_end_gangrene;
death and accidents;dead_old_age;170;anyone;older and !dying;reign;10;My Lord... you're dying of old age. Your remaining time is limited...;I...;;;-5;;;dying;I...;;;-5;;;dying;
death and accidents;earthquake;171;anyone;;200;12;An earthquake destroyed a large part of the capital! The City Guard awaits your orders.;Save the victims;;;;5;-40;!barn_keep and !fortification_keep and !school_keep;Prevent pillaging;;;5;-40;10;!hospital_keep and !fortification_keep and !school_keep;
death and accidents;barnburn;172;farmer;barn_keep;30;10;Help! Help! The communal barn is on fire! Send the garrison!;;;;-15;;;;;;;;-10;-10;!barn_keep;
death and accidents;cold;173;anyone;!barn_keep;30;10;This is the coldest winter of the last 30 years. After the weak harvest, your people are starving.;Give our supplies;;;;10;-30;;I can't help!;;;;-40;;;
death and accidents;fire;174;anyone;;60;8;A great fire is destroying your castle my Lord.;Save the garrison!;;-10;;-10?;-30;;Save the treasury!;;-10;-30;-10;;;
;plaguestart;175;anyone;!plague;130;10;A ship has been quarantined. It may be the plague. Shall we quarantine the whole port?;;;;-10;5?;-20?;;;;;;-5?;5;>_plague;
death and accidents;_plague;176;anyone;!blackpredict;;10;No other ship has presented with the disease. We're safe!;Let's do business again;;;;;10?;;Keep an eye on that;;;;5?;-5?;;
death and accidents;_plague;177;anyone;;;10;It's the Black Death! We don't know what to do with all the corpses!;Burn the dead! Help the living!;;-10?;-10?;-5?;-20?;plague;Close the castle's gates;;-10?;-10?;-20?;;plague;
death and accidents;;178;anyone;demography<50 and military<50;160;10;The peasants are revolting! Large groups of people are ransacking the capital. Your army is overwhelmed.;Reinforce the army;;;30;-10?;-20?;!hospital_keep and !fortification_keep and !school_keep;Close the castle's gates;;-10?;-10;30?;;!barn_keep and !cathedral_keep and !school_keep;
;;179;doctor;school_keep;160;10;The school is an elaborate scheme to brain-wash a whole generation with religious idiocies. Stop it.;;;-15;;15?;;!school_keep;;;5;;-10?;;;
death and accidents;;180;anyone;hospital_keep;160;10;A group of fanatics have ransacked the hospital, pretending only God can heal them through your holy touch, My Lord.;Yes I can;;10?;-10?;5?;;!hospital_keep;No I can't;;-5?;5?;-10?;;!hospital_keep;
death and accidents;;181;anyone;demography<50;160;10;A group of villagers pretend they're assaulted by celestial beings. It's probably a trick to pay less tax.;;;;;-1?;;;I believe them;;;;15?;-10?;;
death and accidents;;182;witch;plague and hospital_keep and demography<40;40;50;The hospital will limit the advance of the plague. We need more staff and the help of the army to be effective!;;;;5;25?;-10;;;;;;10?;;;
death and accidents;;183;anyone;plague and demography>50;40;20;The plague outbreak is coming to an end!;Let's celebrate;;;;5?;-5;;Let's be careful;;5?;;15?;;;
death and accidents;terror;184;anyone;age>10 and !terrorism;400;15;There's been an explosion in the capital! We don't exactly know what happened. Shall we close the gates of the city?;;;;;;-15;terrorism;;;-5?;-5?;-5?;;terrorism;
;;185;general;terrorism;20;20;There's been another explosion! We need to be able to use the churches to help the victims!;;;-15?;5;;;;;;;-10?;-15?;;;
;;186;merchant;terrorism;20;20;There's been another explosion! This time in the merchants' district! Shall we reinforce security?;;;;15?;;-10;;;;;-15;;;;
;;187;anyone;terrorism;40;17;People are scared and now consider you responsible for the terrorist attacks. They want your head!;Call the army!;;;-10?;-10?;;;Let's keep calm;<i>The mob barely listened and started regrouping outside the castle.</i>;;-20?;100?;;;
;;188;farmer;terrorism;40;17;The population is scared by the terrorists! Please, suspend the payment of taxes this year.;;;-5;-5;5?;-10;;;;;;-15;;;
;;189;general;terrorism;100;17;Enforce the state of emergency! That's the only way to deal efficiently with these terrorists!;;;5?;40?;-10?;-5?;;;;;-20?;;;;
;;190;spy;terrorism;100;15;I know who the scorpions biting your back are. Do you want to learn more?;;;;;;-5?;>;;;;;;;;
;_;191;spy;;;;They're called the "Pure Brethren". They seceded from the Church because they think priests shouldn't wear hats.  ;That's ridiculous;;;;;;>;No way;;;;;;>;
;_;192;spy;;;;It sort of escalated from that point. Now they want to burn all the hats, as well as the people under them.;Well...;;;;;;add_priest and add_merchant and >;;;;;;;add_priest and add_merchant and >;
;_;193;priest;;;;I'm not giving up my hat. And it's called a mitre, thank you.;Yes you are;;-10?;;;;>;No you're not;;5?;;;;>;
;_headgear;194;merchant;;;;We will fight for our freedom, our families and our headgear!;;;;;;5?;>;;;;;;-5?;>;
;_;195;farmer;;;;I won't. Never. I'm scared and don't want to be involved in your politics.;;;;;5?;;>>>;;;;;-5?;;>>>;
;_;196;spy;;;;It seems the Pure Brethren evolved. They're now terrorizing the East because they're eating sausages.;Good riddance;;5?;5?;5?;10?;!terrorism;Send some help;;10?;10?;10?;-5;!terrorism;
death and accidents;;197;anyone;!hospital_keep;150;10;There's a cholera outbreak in the capital! It's the Blue Death!;Treat the population;;-5;-5;-5;-20;;Close the castle's gates;;-5;-10?;-40?;;;
death and accidents;dying;198;ghost;dying;reign;40;You're dying my young friend. Dying of old age, what an achievement!;I...;;;;;;>_end_grand;I...;;;;;;>_end_grand;
death and accidents;deaf;199;dungeon>dark;older and !isDeaf;40;8;<i>You wake up in the middle of the night, feeling the years bending your back. You are old and tired.</i>;<i>Stay awake</i>;;;;;;isDeaf;<i>Go back to sleep</i>;;;;;;isDeaf;
;;200;anyone;older;100;10;My Lord! You seem to breathe with a lot of difficulty. Are you all right?;;;;;;;>>>>deaf;;;;;;;>>>>pneumonia;
death and accidents;pneumonia;201;doctor;older;reign;15;My Lord... you're dying of pneumonia...;I...;;;;;;dying;I...;;;;;;dying;
diplomacy and war;bird;202;bird;!warIslander_keep;80;8;<i>The message says: Islanders are menacing us. We should attack them before they attack us.</i>;;;;-15;;-5;warIslander_keep and nb_war_keep+;;;;;-10;-10;warIslander_keep and nb_war_keep+;
diplomacy and war;;203;diplomat;has_jester;300;10;Our flag should be changed, it's really not fashionable.;What are the options?;;;;;;>_chooseflag;;;;;;;;
diplomacy and war;_chooseflag;204;priest;;5;10;A red cross on a golden field?;;;20;-5;-5;;;Something else?;;;;;;>_chooseflag;
diplomacy and war;_chooseflag;205;general;;5;10;An orange cannon on a green canvas?;;;-5;20;-5;;;Something else?;;;;;;>_chooseflag;
diplomacy and war;_chooseflag;206;farmer;;5;10;A brown spade on a grey sky?;;;-5;-5;20;;;Something else?;;;;;;>_chooseflag;
diplomacy and war;_chooseflag;207;jester;;;1;What about a blue pig with a purple crown?;;;-5;-5;-5;;;Enough!;;;;;;;
diplomacy and war;;208;diplomat;!nb_war_keep and !embassies_keep;80;15;Should we build embassies in neighbouring countries? It may be a good way to prevent wars.;;;;5;10;-15;embassies_keep;;;;;-5;;;
diplomacy and war;library;209;diplomat;!library and !warSouth_keep;100;8;The Queen of the South is offering you forty books. We should build a library!;;;-10;5;20?;-10;library;;;5;-5;-5;;;
diplomacy and war;warwithsouth;210;general;!warSouth_keep;100;8;We should attack the kingdom of the South! They're growing stronger every day.;;;;-15?;;;;;;;;5;;warSouth_keep and nb_war_keep+;
diplomacy and war;recruit;211;general;;60;8;We can never be too prepared. You need to recruit more soldiers!;;;;20;-5?;-15;add_soldier;;;;-20;;;;
diplomacy and war;;212;diplomat;nb_war_keep>0 and embassies_keep;60;12;We may be able to find a way to stop the war thanks to the diplomatic effort from our embassies!;;;;-5;15?;;!nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;;;;;-10?;-10?;;
diplomacy and war;superwedding;213;diplomat;nb_war_keep>0 and !has_queen;40;20;We could arrange your wedding with the Princess of the North. That would stop the war.;;;10;5;5;5;add_queen and !nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;;;;;-10?;-10?;;
diplomacy and war;;214;diplomat;nb_war_keep>0 and embassies_keep;100;8;Our enemies are attacking our embassies! We need to protect them if we want to stop the war eventually.;;;;-10;;;;;;;;-5;;!embassies_keep;
diplomacy and war;attack;215;spy;!eastPower_keep and !has_barbare;50;8;A hungry reptile lurks in the East... You should send me to investigate...;;;;;;-10;>>>>;;;;-10;;;eastPower_keep;
diplomacy and war;_;216;spy;;;;An ambitious lizard is gathering the baronies to become a dragon and crush you.;<i>Send the army</i>;<i>You keep the Eastern baronies in a state of turmoil and unorganized power.</i> ;;-15;;;;<i>Ignore him</i>;;;;-5;;eastPower_keep;
diplomacy and war;;217;spy;year>850;80;9;I can draw red ants to the bed of the Eastern baronies. Your call.;;<i>You put the Eastern baronies in a state of turmoil and unorganized power.</i> ;;;;-5;>>> and !eastPower and isShrewd;;;;-10?;;;;
diplomacy and war;;218;anyone;!eastPower_keep;60;8;The Eastern baronies are regrouping under the banner of a terrible war lord! Send the army!;;;;-15;;;warEast_keep and eastPower_keep and nb_war_keep+;;;;;-30?;;eastPower_keep and >>>;
diplomacy and war;;219;anyone;eastPower_keep and !warWest_keep;60;9;The East and the South are coordinating an attack against the Kingdom! Should we ask the West for help?;;;;10;;-20?;warEast_keep and warSouth_keep and nb_war_keep++;;;;-10;-30?;;warEast_keep and warSouth_keep and nb_war_keep++;
diplomacy and war;;220;anyone;eastPower_keep;40;20;The Eastern baronies are attacking! We will only prevail by enlisting the population.;;;;10;-30;;!eastPower_keep;;;;-40?;;;;
diplomacy and war;barbarian;221;general;military<50 and !warEast_keep;80;12;We need better defences! The barbarians from the Eastern baronies are at the border of our Kingdom.;;;;20;;-10;;;;;-25;;;warEast_keep and nb_war_keep+;
diplomacy and war;;222;general;nb_war_keep>0 and military<40;40;13;We lost the war my King. We have to accept our enemies' conditions.;;;-10;-10;-10;-10;!nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;;;;15?;-20;-15;;
;peacetreaty;223;diplomat;nb_war_keep>0;40;6;Our enemies want a peace treaty! This is the best way to end the war.;;;5?;5?;5?;5?;!nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;;;;15?;-20;-15;;
diplomacy and war;;224;general;nb_war_keep>0 and military>55;40;12;Our army is strong and we're winning the war! Shall we force a peace treaty?;;;10?;10?;10?;10?;!nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;;;;15?;-20;-15;;
diplomacy and war;;225;general;nb_war_keep>0 and military>70;40;40;We crushed the invading armies! The looting is excellent!;Bravo!;;5;30?;5;15;;No looting;;;-10;;;;
diplomacy and war;;226;diplomat;!warWest_keep and military<40;60;10;The King of the West has been informed of the state of our army and is now attacking us!;Mobilize and attack!;;;10?;-5?;-10?;warWest_keep and nb_war_keep+;Retreat and regroup!;;;10?;10?;;warWest_keep and nb_war_keep+;
diplomacy and war;;227;diplomat;!warSouth_keep and nb_war_keep>0;40;8;The Queen of the South would like to help us in our effort to repel the invading armies. ;;;-5;15;5;;;;;;-15?;;;;
diplomacy and war;;228;diplomat;!warWest_keep;200;8;The King of the West is offering us money to buy a small part of the country.;;;;;-20;15;;;;;;;-5;;
diplomacy and war;;229;diplomat;!warEast_keep and !eastPower;80;8;The Eastern baronies are at war again and their population is crossing our frontier as we speak.;Welcome them;;-5;-5;-5;20;;Close the frontier;;;20;;-10;;
diplomacy and war;;230;merchant;!crusade_keep and !nb_war_keep;70;10;Our country is at peace and business is good! You should keep the treasury full for harder times.;;;-5;-5;-5;20;;;;5;5;5;;;
diplomacy and war;battleviking_keep;231;general;!warViking_keep;70;8;The Vikings are attacking us! We should defend our kingdom from the North!;Attack!;;5;-10;-5?;-10;add_soldier and warViking_keep and nb_war_keep+;Defend!;;-5;5;;-5;add_soldier and warViking_keep and nb_war_keep+;
diplomacy and war;;232;merchant;nb_war_keep>1;40;12;We're at war with too many enemies, it costs a fortune. We should negotiate a cease fire.;;;;-20;10;10;!nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;;;;;-10;-30;;
diplomacy and war;;233;anyone;nb_war_keep=1;40;8;The war is long and painful. Call for a cease fire!;;;;-20;10;10;!nb_war_keep and !warSouth_keep and !warWest_keep and !warEast_keep and !warIslander_keep and !warViking_keep;;;;;-10;-10;;
diplomacy and war;;234;spy;nb_war_keep>0;25;10;The boar you're at war with has a weakness. It's not really fair play, but would you like to take advantage of it?;;;;10?;;-5;;;;;-10?;;5?;;
diplomacy and war;sabotage_battle;235;general;nb_war_keep>0;30;8;All our catapults have been sabotaged! ;Find the traitors!;;-5?;-5?;;;;God will protect us!;;10?;-15;;;;
diplomacy and war;;236;anyone;nb_war_keep>0 and military<50;40;10;The invading armies are using trebuchets to destroy our fortifications!;Attack!;;;-20?;;;;Defend!;;;5?;-5;;!fortification_keep;
diplomacy and war;;237;general;warViking_keep and !warSouth_keep;50;8;The kingdom of the South is offering to join forces against the Vikings. I trust them.;;;;5;;;>>>>victory_viking;But I don't trust you;;;-20?;;;;
diplomacy and war;;238;anyone;!has_general and nb_war_keep>0;40;50;You need to recruit a new general or we will be overwhelmed.;;;;15;;-10;add_general;I will be the new general;;5;-20;;;;
diplomacy and war;victory_viking;239;soldier;warViking_keep;10;20;Victory! The Vikings are defeated! Should we exterminate all the prisoners?;No pity! ;;-5;10;-5;;!warViking_keep and nb_war_keep- and add_viking and >>>>_revengeViking;Let them go;;5;-10;5;5;nb_war_keep- and !warViking_keep;
diplomacy and war;expedition;240;explorator;!colonies_keep and !spice_trade_keep;200;25;I'm <explorator> and I think I found a new commercial route to the Orient by sea! Please, finance my expedition.;;;-5;5;10;-15;>>>>>_returnexplorator_keep;;;;-5;-5;;;
diplomacy and war;_returnexplorator_keep;241;explorator;;;12;I haven't found the route to the Orient yet, but I won't give up that easily!;;;;;;-5;>>>>>>>_returnexplorator_keep;Without my help;;;;;;;
diplomacy and war;_returnexplorator_keep;242;explorator;;;8;I found a new world! It has trees of gold, rivers of silver and mountains of diamonds. And some uncivilized savages.;Let's establish colonies;;10;-5?;20?;10;colonies_keep;Let's plunder it;;-5?;20?;-5?;30;;
diplomacy and war;;243;priest;colonies_keep;170;30;These savages are pristine pages to write the name of God upon. We will educate them.;;;15;;;-5?;;;;-5?;;5?;10;;
diplomacy and war;;244;general;colonies_keep;170;30;Our colonies will provide excellent troops for next to nothing!;;;;20?;-5?;;;;;;-10?;;;;
diplomacy and war;;245;priest;colonies_keep;120;20;The colonies have started an uprise. Those savages want democracy, elections and fair trial!;Save the settlers;;5?;;5?;-20?;!colonies_keep;Save the money;;-5?;;-20?;5?;!colonies_keep;
diplomacy and war;;246;bird;;500;10;Tweet! <i>It seems the bird was carrying a message but it's not there anymore.</i>;<i>Look on the window sill</i>;<i>You find a torn paper with a partial message: "ARM...".</i>;;;;;>;<i>Look under the throne</i>;<i>You find a lot of garbage, but no message.</i>;;;;;>;
diplomacy and war;_;247;general;;;;This message must be important. Let me send some men to the borders.;;;;5?;-5?;-5?;;;<i>It was an important message.</i>;-10?;-70?;-10?;-10?;;
diplomacy and war;_revengeViking;248;viking;;;;I curse you for the massacre of my soldiers!;How dare you!;;-20?-1;-20?-1;-20?-1;-20?1;;You're my slave now;;-20?-1;-20?-1;-20?-1;-20?1;;
economy;trade_herectics;249;monk;has_merchant;60;10;The Merchants' Guild is selling goods traditionally produced by the Abbey. Put an end to this.;;;15?;;;-30?;>_merchant_react;;;-5?;;;5;;
economy;intro_merchant;250;merchant;;del;40;My Lord, I'm <merchant>, the Merchants' Guild master. Please accept a token of our gratitude.;;;;;;10;;I take no bribe;;5?;;5?;;;
economy;_merchant_react;251;merchant;;;;My Lord, you can't stop the trade! Please reconsider, even if it means paying a new tax.;;;-5?;;;10?;;;;;;;-15?;;
economy;spice_trade;252;merchant;!spice_trade_keep and !crusade_keep and dynasty>2 and !isSlaver;80;10;We should trade with the Orient... We can offer the crown 10% of all profits made.;;;-10?;;5?;15;spice_trade_keep;;;10?;;;;>;
economy;_spice_trade2;253;merchant;;;;Your Highness is tough. What about 20% ?;;;-20?;;;30;spice_trade_keep;;;5?;;;-10;;
economy;spice2;254;merchant;spice_trade_keep;30;10;The Guild would like to give you 50% of the opium trade profit, in exchange for the ability to raise an army.;;;-10?;-30?;-5?;40;;That's far too generous...;;5?;5?;5?;-10?;;
economy;end_spice;255;merchant;spice_trade_keep;30;15;Bandits are terrorizing caravans on the silk road. We should send an armed troop.;;;;-15?;;;;;;;;;-25?;!spice_trade_keep;
economy;end_spice;256;merchant;spice_trade_keep;30;10;A diplomatic incident suspended trade on the silk road. Help us keep the trade flowing.;;;;-10;;;;;;5;;;-15;!spice_trade_keep;
economy;trust;257;merchant;no_merchant>1;30;25;You keep ignoring my advice. Do you trust me My Lord?;;;-5?;-5?;-5?;15;;;;;;;-25?;;
economy;poorcondition;258;merchant;overall<40 and !has_parker;100;12;Your Kingdom is poor and weak. A benevolent friend of mine would like to offer some help. For free.;;;20?;20?;20?;20?;;;;-1;-1;-1;-1;;
economy;;259;merchant;year>1100 and overall<48 and !has_parker;400;40;My benevolent friend would like to meet you. He brings gifts.;;;20?;20?;20?;20?;>_parkstart and add_parker;;;-1;-1;-1;-1;>;
economy;_;260;merchant;;;;Ahem, you can't really say no to him.... he will tell you himself.;;;;;;;>;;;;;;;>;
economy;_parkstart;261;parker;;;;How are you today Your Nerdiness? I hope you enjoyed my small contributions?;;;;;;;>;;;;;;;>;
economy;_;262;parker;;;;It doesn't matter anyway Fancy Pants. I made a hundred times that in the Royal Bet.;The Royal Bet?;;;;;;>;I don't understand;;;;;;>;
economy;_;263;parker;;;;You didn't know? Half your Kingdom is betting on how long you will survive. The other half is just starving.;What?;;;;;;>;;;;;;;>;
economy;_;264;parker;;;;I happen to be the genius organizing the game. My little gifts are just a way to sharpen the odds.;I'm speechless;;;;;;>;You're a crook;;;;;;>;
economy;_;265;parker;;;;Tut-tut-tut... don't thank me, it's quite natural. Here, have more.;;;5?;5?;5?;5?;;;;;;;;;
economy;;266;parker;;100;10;I convinced the Church to invest in child labor. You want in?;;;15?;;-20?;5;;;;-5;;?10;;;
economy;;267;parker;;100;10;I need a small army of badass soldiers for a classy coup in the Far East.;;;;-15?;;10?;;;;5?;;;;;
economy;;268;parker;hospital_keep;100;10;One of my wild lady friends needs some blood for a party. This hospital of yours can provide that.;;;-15?;;;10;;;;5?;;;;;
economy;tools;269;merchant;!has_foreign_princess;360;14;A foreign merchant is selling new farming tools. We should copy his wares.;;;;;;-10?;;;;;;;10;add_foreign_princess and >;
economy;_farming;270;merchant;;300;;You're making a mistake. Now the merchant has asked to meet you.;;;;;;;>_intro_fp_trade and no_merchant++;;;;;;;;
economy;_intro_fp_trade;271;foreign_princess;;;;Surprised to meet a business woman? In my country, women are not vacuous slugs like the ones in your court.;Welcome!;;-5;;;15?;;Please stay away...;;5?;;;-10?;del_foreign_princess;
economy;trade;272;anyone;!has_merchant;70;18;The merchants would like to create a new Guild and send their representative to the court.;;;-5?;-5?;-5?;15?;add_merchant;;;;;;-15?;;
economy;credit;273;nobleman;treasure>45 and treasure<60;40;10;Do you need some credit My Lord? 2000 gold pieces at 5% interest.;;;;;;10;>>>>_interests;;;;;;;;
economy;credit2;274;nobleman;treasure<45;40;10;Do you need some credit My Lord? 8000 gold pieces at 5% interest.;;;;;;40;>>>>_interests_2;;;;;;;;
economy;_interests;275;nobleman;;5;300;My Lord, it's time to pay your debt.;;;;;;-12;;You are dead!;;-15?;-15?;-15?;;del_nobleman;
economy;_interests_2;276;nobleman;;5;300;My Lord, it's time to pay your debt.;;;;;;-48;;You are dead!;;-15?;-15?;-15?;;del_nobleman;
entertainment;hunt;277;nobleman;;60;6;My Lord, would you like to hunt some wild pigs?;;;;;;;>_hunt_outcome;;;;;;;;
entertainment;_hunt_outcome;278;nobleman;;5;30;The hunt was a success! We should have a very fine banquet tonight!;;;5?;5?;;5?;;Give the food to the people;;-2?;-2?;15;-2?;;
entertainment;_hunt_outcome;279;nobleman;!isStone;5;10;Disappointing this hunt. We only found mushrooms, a brown one and a blue one.;Give me the blue one;;;;;;isStone;Give me the brown one;<i>Nothing happens.</i>;;;;;;
entertainment;_hunt_outcome;280;anyone;;5;10;You have suffered a terrible accident during the hunt! You're bleeding so much!;Get a doctor!;;-5?;-5?;-5?;-10?;add_doctor and >_die_gangrene;Let me rest;;-100;-100;-100;-100;>_end_bed;
entertainment;fun;281;courtesan;age=7;70;200;This is your 20th birthday My Lord. We should celebrate!;;;5;5;5;-15?;;;;-5;-5;-5?;;;
entertainment;;282;jester;;200;10;If you were an animal, what would it be? A lion?;;;;6?;;;>>>_jesterlion;;;;;;;>;
entertainment;_;283;jester;;;;A scorpion?;;;6?;;;;>>>_jesterscorp;;;;;;;>;
entertainment;_;284;jester;;;;A gazelle?;;;;;6?;;>>>_jestergaz;;;;;;;;
entertainment;_jesterlion;285;anyone;has_jester;;;My Lord, <jester> managed to set a lion loose in the streets of the capital. It's pandemonium!;Send the army;;;-15;;;;Close the castle's gates;;;-5;-15;;;
entertainment;_jesterscorp;286;anyone;has_jester;;;My Lord, <jester> released a scorpion in the castle. <monk> has been stung. He's dying.;Throw the jester out;;;;;;del_jester;Keep it quiet;;-10?;;;;;
entertainment;_jestergaz;287;anyone;has_jester;;;<jester> brought a gazelle to the capital. People love it! We should build a zoo.;;;;;12?;;;;;;;-4?;;;
entertainment;song;288;jester;;80;5;I would like to sing a song for your Majesty. It's called "The fool and its Majesty";;;;;;;>;;;5;;;;;
entertainment;_song1;289;jester;;;;It was a long time ago, a poor fool was singing alone a sad, a very sad song...;Carry on;;;;;;>;Stop here;;;;;;;
entertainment;_song2;290;jester;;;;He had a majestic pet as a companion, a very dark and ugly beast...;Carry on;;;;;;>;Guard!! seize the jester;;;;;;del_jester;
entertainment;_song3;291;jester;;;;But nice and clean and with a constantly wagging tail.;Thank you;;;;10;;;It was a very ugly song;;10;;;;;
entertainment;party;292;queen;;60;10;My love, I would like to organize a tournoi!;;;;10?;5?;-20;;Only over my dead body;;;-5;-5;;;
entertainment;;293;queen;!has_lady and !isLover;100;12;Let's organize a grand dinner with my visiting cousin. She's lovely!;;;;;5;-10;add_lady and >lady_intro;;;;;-5?;;;
entertainment;_reddwarf_fall;296;jester;treasure=0;;max;You're trying to trick me! I know the treasury is empty.;I make the money;;;;;;>_play5;;;;;;;>_play5;
entertainment;_reddwarf_fall2;298;jester;treasure=0;;max;You're trying to trick me! I know the treasury is empty.;I make the money;;;;;;>_play15;;;;;;;>_play15;
entertainment;_reddwarf_fall3;300;jester;treasure=0;;max;You're trying to trick me! I know the treasury is empty.;I make the money;<i><jester> slowly lifts the goblet, revealing two dice...</i>;;;;;>_play35;;;;;;;;
entertainment;reddwarf;294;jester;;50;8;Would you like to play Red Dwarf My Lord? Let's start with a small bet, I don't want to ruin you.;;;;;;-5;>_reddwarf_fall and reddwarf_keep;;;;;;;;
entertainment;_reddwarf_fall;295;jester>throw;;;10;Dice are rolling! I'm pretty sure I won. You don't want to raise the stakes while we still can?;Show me!;<i><jester> slowly lifts the goblet, revealing two dice...</i>;;;;;>_play5;I raise you!;;;;;-10;>_reddwarf_fall2;
entertainment;_reddwarf_fall2;297;jester>throw;;;10;C'mon. I know you can do better.;Show me!;<i><jester> slowly lifts the goblet, revealing two dice...</i>;;;;;>_play15;I raise you!;;;;;-20;>_reddwarf_fall3;
entertainment;_reddwarf_fall3;299;jester>throw;;;10;You have to bet the treasure!;Show me!;<i><jester> slowly lifts the goblet, revealing two dice...</i>;;;;;>_play35;I raise you!;<i><jester> slowly lifts the goblet, revealing two dice...</i>;;;;-40;>_play75;
entertainment;_play5;301;jester>won;;;10;Even! You won my Lord, but that's just beginner's luck. I bet you can't do that again.;Try me...;;;;;5;>_reddwarf_fall;;;;;;10;;
entertainment;_play5;302;jester>lost;!dice_keep;;10;Odd! I won, I won, I won! Do you care to play again?;;;;;;-5;>_reddwarf_fall;;;;;;;;
entertainment;_play15;303;jester>won;;;10;Even! It's not fair. You won. I need the money back!;Let's try again...;;;;;15;>_reddwarf_fall2;;;;;;30;;
entertainment;_play15;304;jester>lost;!dice_keep;;10;Odd! I won. I'm so good at this game. Do you care to play again?;;;;;;-5;>_reddwarf_fall;;;;;;;;
entertainment;_play35;305;jester>won;;;10;Even! You won. Let's try again. But no cheating this time!;;;;;;35;>_reddwarf_fall3;;;;;;70;;
entertainment;_play35;306;jester>lost;!dice_keep;;10;Odd! I won again! Soon I will own this castle, I'm sure. Another game?;;;;;;-5;>_reddwarf_fall;;;;;;;;
entertainment;_play75;307;jester>won;;;10;Even! You won my Lord, but this luck is going to kill you.;;;;;;100;;;;;;;100;;
entertainment;_play75;308;jester>lost;!dice_keep;;10;Odd! You're now working for me!;What...;;;;;;;What...;;;;;;;
entertainement;;309;jester;;300;10;I have a gift for you in one of my hands.;Left!;<i><jester> gives you a dead bird. Then he runs away, shrieking.</i>;;-5?;;-5?;del_bird;Right!;<i><jester> gives you a golden cross. Then he runs away, shrieking.</i>;-5?;;;5?;>;
entertainement;_gift1;310;monk;;;;This bloody jester stole our cross. But... what is this in your hand?;Take it back;;10;;;-5?;;State property;;-15;;;;;
;;311;priest;year>900;300;12;I discovered a young genius painter. His works are a true sign of the divine in this world.;Bring him in;;10;;;-5?;add_painter and >;I'm busy;;-5;;-5;;;
;;312;painter;;del;40;My name is <painter>. I will change the world with my art and your money.;;;5?;5?;5?;-15?;;;;-10?;;;;;
entertainment;;313;painter;;160;8;I would like to paint your portrait my Lord!;;;;;5;-5?;;;;;;-5;;;
entertainment;;314;painter;;200;10;I want to do a moving painting of you, Sire.;A moving painting?;;;;5?;;>;;;;;;;;
entertainment;_;315;painter;;;;I will paint your picture over your own body. It's modern art.;;;-10?;;10?;-10;;;;;;;;;
entertainment;;316;painter;;200;10;I would like to adorn the basilica with a grand fresco full of powerful allegories of your royal virtues.;;;5;10?;5;-20?;;;;-5;-5;;;;
entertainment;;317;painter;!isLover;120;8;I've had enough of work for the day. What about a bit of sport My Lord?;En garde!;;;5?;;;>_duel_painter;;;;;;;;
